"time","Apan_DNI","Baranquilla_DNI","Belgium_DNI","Canaries_DNI"
"2005-01-01 01:00:00",0,0,0,0
"2005-01-01 02:00:00",0,0,0,0
"2005-01-01 03:00:00",0,0,0,0
"2005-01-01 04:00:00",0,0,0,0
"2005-01-01 05:00:00",0,0,0,0
"2005-01-01 06:00:00",0,0,0,0
"2005-01-01 07:00:00",0,340.15,0,0
"2005-01-01 08:00:00",0,647.98,0,0
"2005-01-01 09:00:00",0,780.21,0,0
"2005-01-01 10:00:00",591.72,847.58,0,58.94
"2005-01-01 11:00:00",720.48,880.85,0,477.43
"2005-01-01 12:00:00",782.79,890.06,0,826.73
"2005-01-01 13:00:00",80.86,880.23,0,849.49
"2005-01-01 14:00:00",428.32,847.08,0,893.44
"2005-01-01 15:00:00",14.72,780.42,0,481.06
"2005-01-01 16:00:00",0,655.58,0,279.25
"2005-01-01 17:00:00",81.38,408.33,0,84.18
"2005-01-01 18:00:00",22.16,0,0,510.13
"2005-01-01 19:00:00",0,0,0,0
"2005-01-01 20:00:00",0,0,0,0
"2005-01-01 21:00:00",0,0,0,0
"2005-01-01 22:00:00",0,0,0,0
"2005-01-01 23:00:00",0,0,0,0
"2005-01-02 00:00:00",0,0,0,0
"2005-01-02 01:00:00",0,0,0,0
"2005-01-02 02:00:00",0,0,0,0
"2005-01-02 03:00:00",0,0,0,0
"2005-01-02 04:00:00",0,0,0,0
"2005-01-02 05:00:00",0,0,0,0
"2005-01-02 06:00:00",0,0,0,0
"2005-01-02 07:00:00",0,329.67,0,0
"2005-01-02 08:00:00",0,6.47,0,0
"2005-01-02 09:00:00",0,781.05,0,0
"2005-01-02 10:00:00",576.57,847.75,43.34,440.75
"2005-01-02 11:00:00",709.58,882.99,21.01,787.55
"2005-01-02 12:00:00",777.91,895.21,43.22,858.49
"2005-01-02 13:00:00",809.17,883.84,71.96,866.61
"2005-01-02 14:00:00",811.55,852.15,297.39,96.96
"2005-01-02 15:00:00",785.79,786.55,319.51,829.18
"2005-01-02 16:00:00",724.21,662.39,36.27,142.02
"2005-01-02 17:00:00",602.52,414.98,0,714.12
"2005-01-02 18:00:00",36.43,0,0,594.25
"2005-01-02 19:00:00",0,0,0,0
"2005-01-02 20:00:00",0,0,0,0
"2005-01-02 21:00:00",0,0,0,0
"2005-01-02 22:00:00",0,0,0,0
"2005-01-02 23:00:00",0,0,0,0
"2005-01-03 00:00:00",0,0,0,0
"2005-01-03 01:00:00",0,0,0,0
"2005-01-03 02:00:00",0,0,0,0
"2005-01-03 03:00:00",0,0,0,0
"2005-01-03 04:00:00",0,0,0,0
"2005-01-03 05:00:00",0,0,0,0
"2005-01-03 06:00:00",0,0,0,0
"2005-01-03 07:00:00",0,332.47,0,0
"2005-01-03 08:00:00",0,648.65,0,0
"2005-01-03 09:00:00",0,781.79,0,0
"2005-01-03 10:00:00",580.04,850.69,73.94,62.14
"2005-01-03 11:00:00",713.42,883.79,0,745.01
"2005-01-03 12:00:00",782.05,894.26,0,825.53
"2005-01-03 13:00:00",812.39,883.64,0,881.89
"2005-01-03 14:00:00",814.24,851.55,70.63,89.31
"2005-01-03 15:00:00",786.82,789.11,0,878.55
"2005-01-03 16:00:00",721.74,666.51,0,771.34
"2005-01-03 17:00:00",599.41,427.19,0,397.91
"2005-01-03 18:00:00",365.05,0,0,261.22
"2005-01-03 19:00:00",0,0,0,0
"2005-01-03 20:00:00",0,0,0,0
"2005-01-03 21:00:00",0,0,0,0
"2005-01-03 22:00:00",0,0,0,0
"2005-01-03 23:00:00",0,0,0,0
"2005-01-04 00:00:00",0,0,0,0
"2005-01-04 01:00:00",0,0,0,0
"2005-01-04 02:00:00",0,0,0,0
"2005-01-04 03:00:00",0,0,0,0
"2005-01-04 04:00:00",0,0,0,0
"2005-01-04 05:00:00",0,0,0,0
"2005-01-04 06:00:00",0,0,0,0
"2005-01-04 07:00:00",0,33.52,0,0
"2005-01-04 08:00:00",0,647.46,0,0
"2005-01-04 09:00:00",0,780.64,0,0
"2005-01-04 10:00:00",580.71,847.84,0,579.19
"2005-01-04 11:00:00",717.15,8.82,0,704.81
"2005-01-04 12:00:00",784.56,894.43,0,811.43
"2005-01-04 13:00:00",815.51,885.85,0,85.08
"2005-01-04 14:00:00",815.48,853.67,0,861.07
"2005-01-04 15:00:00",784.83,789.85,0,799.51
"2005-01-04 16:00:00",719.21,670.54,0,673.67
"2005-01-04 17:00:00",596.26,427.65,0,638.57
"2005-01-04 18:00:00",361.41,0,0,364.41
"2005-01-04 19:00:00",0,0,0,0
"2005-01-04 20:00:00",0,0,0,0
"2005-01-04 21:00:00",0,0,0,0
"2005-01-04 22:00:00",0,0,0,0
"2005-01-04 23:00:00",0,0,0,0
"2005-01-05 00:00:00",0,0,0,0
"2005-01-05 01:00:00",0,0,0,0
"2005-01-05 02:00:00",0,0,0,0
"2005-01-05 03:00:00",0,0,0,0
"2005-01-05 04:00:00",0,0,0,0
"2005-01-05 05:00:00",0,0,0,0
"2005-01-05 06:00:00",0,0,0,0
"2005-01-05 07:00:00",0,330.96,0,0
"2005-01-05 08:00:00",0,64.89,0,0
"2005-01-05 09:00:00",0,7.83,0,0
"2005-01-05 10:00:00",578.56,850.61,0,635.42
"2005-01-05 11:00:00",71.52,88.39,0,731.92
"2005-01-05 12:00:00",783.93,894.54,0,874.84
"2005-01-05 13:00:00",81.44,884.27,0,900.34
"2005-01-05 14:00:00",815.26,852.94,0,911.16
"2005-01-05 15:00:00",785.69,78.88,0,913.05
"2005-01-05 16:00:00",721.79,66.94,0,834.27
"2005-01-05 17:00:00",365.69,422.43,0,80.17
"2005-01-05 18:00:00",25.56,0,0,560.97
"2005-01-05 19:00:00",0,0,0,0
"2005-01-05 20:00:00",0,0,0,0
"2005-01-05 21:00:00",0,0,0,0
"2005-01-05 22:00:00",0,0,0,0
"2005-01-05 23:00:00",0,0,0,0
"2005-01-06 00:00:00",0,0,0,0
"2005-01-06 01:00:00",0,0,0,0
"2005-01-06 02:00:00",0,0,0,0
"2005-01-06 03:00:00",0,0,0,0
"2005-01-06 04:00:00",0,0,0,0
"2005-01-06 05:00:00",0,0,0,0
"2005-01-06 06:00:00",0,0,0,0
"2005-01-06 07:00:00",0,319.58,0,0
"2005-01-06 08:00:00",0,639.26,0,0
"2005-01-06 09:00:00",0,776.26,0,0
"2005-01-06 10:00:00",57.36,846.17,18.14,360.76
"2005-01-06 11:00:00",713.13,879.45,0,489.23
"2005-01-06 12:00:00",78.32,892.18,0,765.84
"2005-01-06 13:00:00",81.32,881.39,0,933.11
"2005-01-06 14:00:00",81.36,850.77,0,845.89
"2005-01-06 15:00:00",7.85,785.99,0,786.24
"2005-01-06 16:00:00",719.11,66.57,169.36,759.87
"2005-01-06 17:00:00",59.45,422.86,0,617.96
"2005-01-06 18:00:00",362.58,0,0,58.61
